,HomeTeam,AwayTeam,BbAvH,BbAvD,BbAvA,FTR,AwayTeamGoals,HomeTeamConceded,AwayTeamConceded,HomeTeamGoals,Weekday
0,Arsenal,Aston Villa,1.4,4.68,7.87,A,1.24,1.23,1.54,1.55,5.0
1,Liverpool,Stoke,1.38,4.54,8.88,H,1.24,1.23,1.54,1.55,5.0
2,Norwich,Everton,3.12,3.27,2.31,D,1.24,1.23,1.54,1.55,5.0
3,Sunderland,Fulham,2.22,3.3,3.29,A,1.24,1.23,1.54,1.55,5.0
4,Swansea,Man United,3.84,3.4,1.99,A,1.24,1.23,1.54,1.55,5.0
5,West Brom,Southampton,2.31,3.33,3.07,A,1.24,1.23,1.54,1.55,5.0
6,West Ham,Cardiff,1.94,3.47,3.94,H,1.24,1.23,1.54,1.55,5.0
7,Chelsea,Hull,1.19,6.68,15.53,H,1.24,1.23,1.54,1.55,6.0
8,Crystal Palace,Tottenham,4.66,3.61,1.77,A,1.24,1.23,1.54,1.55,6.0
9,Man City,Newcastle,1.3,5.27,10.35,H,1.24,1.23,1.54,1.55,0.0
10,Chelsea,Aston Villa,1.29,5.42,10.17,H,3.0,0.0,1.0,2.0,2.0
11,Aston Villa,Liverpool,3.93,3.55,1.91,A,1.24,1.23,1.54,1.55,5.0
12,Everton,West Brom,1.55,3.94,6.27,D,1.24,1.23,1.54,1.55,5.0
13,Fulham,Arsenal,3.51,3.38,2.1,A,1.24,1.23,1.54,1.55,5.0
14,Hull,Norwich,2.39,3.25,3.01,H,1.24,1.23,1.54,1.55,5.0
15,Newcastle,West Ham,2.22,3.29,3.29,D,1.24,1.23,1.54,1.55,5.0
16,Southampton,Sunderland,1.69,3.66,5.16,D,1.24,1.23,1.54,1.55,5.0
17,Stoke,Crystal Palace,1.83,3.42,4.54,H,1.24,1.23,1.54,1.55,5.0
18,Cardiff,Man City,7.32,4.39,1.44,H,1.24,1.23,1.54,1.55,6.0
19,Tottenham,Swansea,1.6,3.78,5.95,H,1.24,1.23,1.54,1.55,6.0
20,Man United,Chelsea,2.38,3.33,2.94,D,1.24,1.23,1.54,1.55,0.0
21,Cardiff,Everton,3.13,3.31,2.29,D,2.0,2.0,2.0,3.0,5.0
22,Crystal Palace,Sunderland,2.49,3.22,2.89,H,1.0,1.0,1.0,0.0,5.0
23,Man City,Hull,1.16,7.53,15.78,H,0.0,0.0,2.0,4.0,5.0
24,Newcastle,Fulham,2.11,3.36,3.49,H,1.0,0.0,0.0,0.0,5.0
25,Norwich,Southampton,2.84,3.27,2.5,H,1.0,2.0,0.0,2.0,5.0
26,West Ham,Stoke,1.98,3.37,3.92,A,0.0,0.0,1.0,2.0,5.0
27,Arsenal,Tottenham,2.08,3.46,3.47,H,1.0,3.0,0.0,1.0,2.0
28,Liverpool,Man United,2.52,3.28,2.81,H,4.0,0.0,1.0,1.0,2.0
29,West Brom,Swansea,2.55,3.34,2.73,A,0.0,1.0,1.0,0.0,2.0
30,Aston Villa,Newcastle,2.11,3.33,3.54,A,0.0,1.0,4.0,0.0,5.0
31,Everton,Chelsea,3.22,3.28,2.27,H,0.0,0.0,0.0,0.0,5.0
32,Fulham,West Brom,2.11,3.33,3.53,D,0.0,3.0,0.0,1.0,5.0
33,Hull,Cardiff,2.38,3.19,3.1,D,0.0,0.0,2.0,1.0,5.0
34,Man United,Crystal Palace,1.21,6.61,13.66,H,1.0,0.0,2.0,0.0,5.0
35,Stoke,Man City,5.69,3.73,1.63,D,2.0,1.0,3.0,2.0,5.0
36,Sunderland,Arsenal,5.43,3.69,1.66,A,3.0,1.0,1.0,0.0,5.0
